Site,Cluster Number,Color,Pattern,Predation,Predator,Number Bite Marks,Location Bite Marks,Days from Start,Month,Model ID
BH,1.1,Green,Solid,0,none,none,none,7,late July,2
BH,1.2,Red,Solid,0,none,none,none,7,late July,5
BH,1.2,Green,Solid,1,arthropod,three,end,7,late July,6
BH,1.2,Red,Pattern,0,none,none,none,7,late July,7
BH,1.3,Red,Solid,1,arthropod,one,end,7,late July,9
BH,1.3,Green,Solid,1,arthropod,one,end,7,late July,10
BH,1.3,Red,Pattern,0,unknown,two,end,7,late July,11
BH,1.4,Green,Solid,0,none,none,none,7,late July,14
BH,1.4,Red,Pattern,0,none,none,none,7,late July,15
BH,1.5,Red,Solid,0,none,none,none,7,late July,17
BH,1.5,Red,Pattern,0,none,none,none,7,late July,19
BH,1.6,Red,Solid,0,none,none,none,7,late July,21
BH,1.6,Green,Solid,1,arthropod,one,end,7,late July,22
BH,1.6,Green,Pattern,0,none,none,none,7,late July,24
BH,1.7,Red,Solid,0,none,none,none,7,late July,25
BH,1.7,Green,Solid,1,arthropod,twp,middle,7,late July,26
BH,1.7,Red,Pattern,0,none,none,none,7,late July,27
BH,1.8,Red,Solid,1,arthropod,two,end,7,late July,29
BH,1.8,Green,Solid,0,none,none,none,7,late July,30
BH,1.8,Red,Pattern,0,none,none,none,7,late July,31
BH,1.9,Red,Solid,1,arthropod,one,end,7,late July,33
BH,1.9,Green,Solid,0,none,none,none,7,late July,34
BH,1.9,Red,Pattern,0,none,none,none,7,late July,35
BH,1.1,Red,Solid,0,none,none,none,7,late July,37
BH,1.1,Green,Solid,0,none,none,none,7,late July,38
BH,1.1,Red,Pattern,0,none,none,none,7,late July,39
BH,1.11,Red,Solid,0,none,none,none,7,late July,41
BH,1.11,Green,Solid,0,none,none,none,7,late July,42
BH,1.12,Red,Solid,0,none,none,none,7,late July,45
BH,1.12,Green,Solid,0,none,none,none,7,late July,46
BH,1.12,Red,Pattern,0,none,none,none,7,late July,47
BH,1.13,Red,Solid,0,none,none,none,7,late July,49
BH,1.13,Green,Solid,0,none,none,none,7,late July,50
BH,1.13,Red,Pattern,0,none,none,none,7,late July,51
BH,1.14,Red,Solid,0,none,none,none,7,late July,53
BH,1.14,Green,Solid,0,none,none,none,7,late July,54
BH,1.14,Red,Pattern,0,none,none,none,7,late July,55
GB,2.1,Red,Solid,1,arthropod,three,middle,7,late July,57
GB,2.1,Green,Solid,0,none,none,none,7,late July,58
GB,2.1,Red,Pattern,0,none,none,none,7,late July,59
GB,2.2,Green,Solid,0,none,none,none,7,late July,62
GB,2.2,Red,Pattern,0,none,none,none,7,late July,63
GB,2.3,Red,Solid,0,none,none,none,7,late July,65
GB,2.3,Green,Solid,0,unknown,one,middle,7,late July,66
GB,2.3,Red,Pattern,0,none,none,none,7,late July,67
GB,2.3,Green,Pattern,0,unknown,three,middle,7,late July,68
GB,2.4,Red,Solid,0,unknown,three,middle,7,late July,69
GB,2.4,Green,Solid,1,arthropod,two,middle,7,late July,70
GB,2.4,Red,Pattern,0,none,none,none,7,late July,71
GB,2.5,Red,Solid,0,none,none,none,7,late July,73
GB,2.5,Green,Solid,0,none,none,none,7,late July,74
GB,2.5,Red,Pattern,0,none,none,none,7,late July,75
GB,2.6,Red,Solid,0,none,none,none,7,late July,77
GB,2.6,Green,Solid,1,arthropod,one,middle,7,late July,78
GB,2.7,Red,Solid,0,none,none,none,7,late July,81
GB,2.7,Green,Solid,0,none,none,none,7,late July,82
GB,2.7,Red,Pattern,0,none,none,none,7,late July,83
GB,2.7,Green,Pattern,0,none,none,none,7,late July,84
GB,2.8,Red,Solid,0,none,none,none,7,late July,85
GB,2.8,Green,Solid,0,none,none,none,7,late July,86
GB,2.8,Red,Pattern,0,none,none,none,7,late July,87
GB,2.8,Green,Pattern,0,none,none,none,7,late July,88
GB,2.9,Red,Solid,0,none,none,none,7,late July,89
GB,2.9,Green,Solid,0,none,none,none,7,late July,90
GB,2.9,Red,Pattern,0,none,none,none,7,late July,91
GB,2.1,Red,Solid,0,unknown,two,middle,7,late July,93
GB,2.1,Red,Pattern,1,arthropod,two,middle,7,late July,95
GB,2.11,Red,Solid,0,none,none,none,7,late July,97
GB,2.11,Green,Solid,0,none,none,none,7,late July,98
GB,2.11,Red,Pattern,0,none,none,none,7,late July,99
GB,2.12,Red,Solid,0,none,none,none,7,late July,101
GB,2.12,Green,Solid,0,none,none,none,7,late July,102
GB,2.12,Red,Pattern,0,none,none,none,7,late July,103
GB,2.13,Red,Solid,0,none,none,none,7,late July,105
GB,2.13,Green,Solid,0,none,none,none,7,late July,106
GB,2.13,Red,Pattern,0,none,none,none,7,late July,107
GB,2.14,Green,Solid,0,none,none,none,7,late July,110
GB,2.14,Red,Pattern,0,none,none,none,7,late July,111
GB,2.14,Green,Pattern,0,none,none,none,7,late July,112
BP,3.1,Red,Solid,0,none,none,none,7,late July,113
BP,3.1,Green,Solid,0,none,none,none,7,late July,114
BP,3.1,Red,Pattern,0,none,none,none,7,late July,115
BP,3.2,Red,Solid,0,none,none,none,7,late July,117
BP,3.2,Green,Solid,0,none,none,none,7,late July,118
BP,3.2,Red,Pattern,0,none,none,none,7,late July,119
BP,3.3,Red,Solid,0,none,none,none,7,late July,121
BP,3.3,Green,Solid,0,none,none,none,7,late July,122
BP,3.3,Red,Pattern,0,none,none,none,7,late July,123
BP,3.4,Green,Solid,0,none,none,none,7,late July,126
BP,3.4,Green,Pattern,0,none,none,none,7,late July,128
BP,3.5,Red,Solid,0,none,none,none,7,late July,129
BP,3.5,Green,Solid,0,none,none,none,7,late July,130
BP,3.5,Red,Pattern,1,arthropod,two,middle,7,late July,131
BP,3.6,Red,Solid,0,none,none,none,7,late July,133
BP,3.6,Green,Solid,0,none,none,none,7,late July,134
BP,3.6,Red,Pattern,0,none,none,none,7,late July,135
BP,3.6,Green,Pattern,0,none,none,none,7,late July,136
BP,3.7,Green,Solid,0,none,none,none,7,late July,138
BP,3.7,Red,Pattern,1,arthropod,four,middle & end,7,late July,139
BP,3.7,Green,Pattern,0,none,none,none,7,late July,140
BP,3.8,Red,Solid,0,unknown,one,middle,7,late July,141
BP,3.8,Green,Solid,0,none,none,none,7,late July,142
BP,3.9,Red,Solid,0,none,none,none,7,late July,145
BP,3.9,Green,Solid,0,none,none,none,7,late July,146
BP,3.1,Green,Solid,0,unknown,two,middle,7,late July,150
BP,3.1,Red,Pattern,0,none,none,none,7,late July,151
BP,3.11,Red,Solid,0,none,none,none,7,late July,153
BP,3.11,Green,Solid,1,arthropod,eighteen,middle,7,late July,154
BP,3.11,Red,Pattern,0,unknown,one,end,7,late July,155
BP,3.13,Green,Solid,0,none,none,none,7,late July,162
BP,3.13,Red,Pattern,0,none,none,none,7,late July,163
BP,3.14,Red,Solid,0,none,none,none,7,late July,165
BP,3.14,Green,Solid,0,none,none,none,7,late July,166
BP,3.14,Red,Pattern,1,arthropod,two,middle,7,late July,167
BH,1.1,Red,Solid,0,none,none,none,25,early August,169
BH,1.1,Green,Solid,0,none,none,none,25,early August,170
BH,1.1,Red,Pattern,0,none,none,none,25,early August,171
BH,1.1,Green,Pattern,1,arthropod,over ten,middle,25,early August,172
BH,1.2,Red,Solid,0,none,none,none,25,early August,173
BH,1.2,Green,Solid,0,none,none,none,25,early August,174
BH,1.2,Red,Pattern,0,none,none,none,25,early August,175
BH,1.2,Green,Pattern,0,none,none,none,25,early August,176
BH,1.3,Red,Solid,0,none,none,none,25,early August,177
BH,1.3,Green,Solid,0,none,none,none,25,early August,178
BH,1.3,Red,Pattern,0,none,none,none,25,early August,179
BH,1.4,Red,Solid,0,none,none,none,25,early August,181
BH,1.4,Green,Solid,1,arthropod,one,end,25,early August,182
BH,1.4,Red,Pattern,0,none,none,none,25,early August,183
BH,1.4,Green,Pattern,0,none,none,none,25,early August,184
BH,1.5,Red,Solid,0,none,none,none,25,early August,185
BH,1.5,Green,Solid,0,unknown,three,middle & end,25,early August,186
BH,1.5,Red,Pattern,0,none,none,none,25,early August,187
BH,1.5,Green,Pattern,0,none,none,none,25,early August,188
BH,1.6,Red,Solid,0,none,none,none,25,early August,189
BH,1.6,Green,Solid,0,unknown,two,middle & end,25,early August,190
BH,1.6,Red,Pattern,0,none,none,none,25,early August,191
BH,1.7,Red,Solid,1,arthropod,one,middle,25,early August,193
BH,1.7,Red,Pattern,0,none,none,none,25,early August,195
BH,1.7,Green,Pattern,1,arthropod,one,end,25,early August,196
BH,1.8,Red,Solid,1,arthropod,one,middle,25,early August,197
BH,1.8,Green,Solid,0,none,none,none,25,early August,198
BH,1.8,Red,Pattern,0,unknown,two,middle & end,25,early August,199
BH,1.8,Green,Pattern,0,none,none,none,25,early August,200
BH,1.9,Red,Solid,0,unknown,two,middle & end,25,early August,201
BH,1.9,Green,Solid,0,unknown,one,end,25,early August,202
BH,1.9,Red,Pattern,0,none,none,none,25,early August,203
BH,1.9,Green,Pattern,0,unknown,one,middle,25,early August,204
BH,1.1,Green,Solid,0,unknown,four,middle,25,early August,206
BH,1.1,Red,Pattern,1,arthropod,one,middle,25,early August,207
BH,1.1,Green,Pattern,1,arthropod,one,end,25,early August,208
BH,1.11,Red,Solid,0,none,none,none,25,early August,209
BH,1.11,Green,Solid,0,none,none,none,25,early August,210
BH,1.11,Red,Pattern,1,arthropod,five,end,25,early August,211
BH,1.12,Red,Solid,1,arthropod,one,end,25,early August,213
BH,1.12,Green,Solid,0,none,none,none,25,early August,214
BH,1.12,Red,Pattern,0,none,none,none,25,early August,215
BH,1.12,Green,Pattern,0,none,none,none,25,early August,216
BH,1.13,Red,Solid,0,unknown,six,middle & end,25,early August,217
BH,1.13,Green,Solid,0,unknown,no count,end,25,early August,218
BH,1.13,Red,Pattern,0,none,none,none,25,early August,219
BH,1.13,Green,Pattern,1,arthropod,over five,middle,25,early August,220
BH,1.14,Red,Solid,0,none,none,none,25,early August,221
BH,1.14,Green,Solid,0,none,none,none,25,early August,222
BH,1.14,Red,Pattern,0,none,none,none,25,early August,223
BH,1.14,Green,Pattern,1,arthropod,four,middle,25,early August,224
GB,2.1,Green,Solid,0,none,none,none,25,early August,226
GB,2.1,Red,Pattern,0,none,none,none,25,early August,227
GB,2.1,Green,Pattern,1,arthropod,one,end,25,early August,228
GB,2.2,Red,Solid,0,none,none,none,25,early August,229
GB,2.2,Green,Solid,0,none,none,none,25,early August,230
GB,2.2,Red,Pattern,1,arthropod,over ten,middle,25,early August,231
GB,2.2,Green,Pattern,0,none,none,none,25,early August,232
GB,2.3,Red,Solid,0,none,none,none,25,early August,233
GB,2.3,Green,Solid,0,none,none,none,25,early August,234
GB,2.3,Red,Pattern,0,none,none,none,25,early August,235
GB,2.3,Green,Pattern,0,none,none,none,25,early August,236
GB,2.4,Red,Solid,0,none,none,none,25,early August,237
GB,2.4,Green,Solid,1,arthropod,two,middle,25,early August,238
GB,2.4,Red,Pattern,0,none,none,none,25,early August,239
GB,2.4,Green,Pattern,0,none,none,none,25,early August,240
GB,2.5,Red,Solid,1,arthropod,three,middle,25,early August,241
GB,2.5,Green,Solid,0,none,none,none,25,early August,242
GB,2.5,Red,Pattern,0,none,none,none,25,early August,243
GB,2.5,Green,Pattern,1,arthropod,one,end,25,early August,244
GB,2.6,Red,Solid,1,arthropod,three,middle,25,early August,245
GB,2.6,Green,Solid,0,unknown,four,middle,25,early August,246
GB,2.6,Red,Pattern,0,none,none,none,25,early August,247
GB,2.6,Green,Pattern,0,none,none,none,25,early August,248
GB,2.7,Red,Solid,0,unknown,four,middle & end,25,early August,249
GB,2.7,Green,Solid,1,arthropod,over ten,middle & end,25,early August,250
GB,2.7,Green,Pattern,1,arthropod,six,middle,25,early August,252
GB,2.8,Red,Solid,0,none,none,none,25,early August,253
GB,2.8,Green,Solid,0,none,none,none,25,early August,254
GB,2.8,Red,Pattern,1,arthropod,three,middle,25,early August,255
GB,2.8,Green,Pattern,0,none,none,none,25,early August,256
GB,2.9,Red,Solid,1,arthropod,one,end,25,early August,257
GB,2.9,Green,Pattern,0,none,none,none,25,early August,260
GB,2.1,Red,Solid,0,unknown,one,middle,25,early August,261
GB,2.1,Green,Solid,1,arthropod,three,middle,25,early August,262
GB,2.1,Red,Pattern,0,none,none,none,25,early August,263
GB,2.1,Green,Pattern,1,arthropod,two,middle,25,early August,264
GB,2.11,Red,Solid,0,none,none,none,25,early August,265
GB,2.11,Green,Solid,0,none,none,none,25,early August,266
GB,2.11,Red,Pattern,0,none,none,none,25,early August,267
GB,2.11,Green,Pattern,0,none,none,none,25,early August,268
GB,2.12,Green,Solid,1,arthropod,four,middle & end,25,early August,270
GB,2.12,Red,Pattern,0,none,none,none,25,early August,271
GB,2.12,Green,Pattern,0,none,none,none,25,early August,272
GB,2.13,Red,Solid,1,arthropod,five,middle & end,25,early August,273
GB,2.13,Green,Solid,1,arthropod,three,middle,25,early August,274
GB,2.13,Green,Pattern,1,arthropod,over ten,middle,25,early August,276
GB,2.14,Red,Solid,1,arthropod,over ten,middle & end,25,early August,277
GB,2.14,Green,Solid,1,arthropod,three,middle,25,early August,278
GB,2.14,Red,Pattern,1,arthropod,five,middle,25,early August,279
GB,2.14,Green,Pattern,0,none,none,none,25,early August,280
BP,3.1,Red,Solid,0,none,none,none,25,early August,281
BP,3.1,Green,Solid,1,arthropod,two,middle & end,25,early August,282
BP,3.1,Green,Pattern,0,none,none,none,25,early August,284
BP,3.2,Red,Solid,0,unknown,one,end,25,early August,285
BP,3.2,Green,Solid,1,arthropod,four,middle & end,25,early August,286
BP,3.2,Red,Pattern,1,arthropod,over ten,middle & end,25,early August,287
BP,3.3,Red,Solid,0,none,none,none,25,early August,289
BP,3.4,Green,Solid,1,arthropod,four,middle & end,25,early August,294
BP,3.5,Green,Solid,0,none,none,none,25,early August,298
BP,3.5,Red,Pattern,0,unknown,one,end,25,early August,299
BP,3.6,Red,Solid,0,unknown,one,middle,25,early August,301
BP,3.6,Green,Solid,0,none,none,none,25,early August,302
BP,3.6,Red,Pattern,0,none,none,none,25,early August,303
BP,3.6,Green,Pattern,0,none,none,none,25,early August,304
BP,3.7,Red,Solid,1,arthropod,one,end,25,early August,305
BP,3.7,Green,Solid,1,arthropod,one,middle,25,early August,306
BP,3.7,Red,Pattern,1,arthropod,one,middle,25,early August,307
BP,3.7,Green,Pattern,0,none,none,none,25,early August,308
BP,3.8,Green,Solid,0,none,none,none,25,early August,310
BP,3.8,Red,Pattern,1,arthropod,one,middle,25,early August,311
BP,3.8,Green,Pattern,1,arthropod,one,end,25,early August,312
BP,3.9,Green,Pattern,0,unknown,one,end,25,early August,316
BP,3.1,Green,Solid,0,none,none,none,25,early August,318
BP,3.11,Red,Solid,0,unknown,two,middle,25,early August,321
BP,3.11,Green,Solid,0,none,none,none,25,early August,322
BP,3.12,Red,Solid,0,none,none,none,25,early August,325
BP,3.12,Green,Solid,0,unknown,three,middle,25,early August,326
BP,3.12,Red,Pattern,0,none,none,none,25,early August,327
BP,3.12,Green,Pattern,0,unknown,two,middle,25,early August,328
BP,3.13,Red,Solid,0,unknown,three,middle & end,25,early August,329
BP,3.13,Green,Solid,1,arthropod,one,middle,25,early August,330
BP,3.13,Red,Pattern,0,none,none,none,25,early August,331
BP,3.13,Green,Pattern,0,none,none,none,25,early August,332
BP,3.14,Red,Solid,0,unknown,one,end,25,early August,333
BP,3.14,Green,Solid,0,none,none,none,25,early August,334
BP,3.14,Red,Pattern,0,none,none,none,25,early August,335
BH,1.1,Red,Pattern,0,none,none,none,42,late August,339
BH,1.1,Green,Pattern,0,none,none,none,42,late August,340
BH,1.2,Red,Solid,0,unknown,three,middle,42,late August,341
BH,1.2,Green,Solid,0,none,none,none,42,late August,342
BH,1.2,Red,Pattern,0,none,none,none,42,late August,343
BH,1.2,Green,Pattern,0,none,none,none,42,late August,344
BH,1.3,Red,Solid,0,none,none,none,42,late August,345
BH,1.3,Red,Pattern,0,none,none,none,42,late August,347
BH,1.3,Green,Pattern,0,none,none,none,42,late August,348
BH,1.4,Red,Solid,0,none,none,none,42,late August,349
BH,1.4,Green,Solid,0,none,none,none,42,late August,350
BH,1.4,Red,Pattern,1,arthropod,five,middle & end,42,late August,351
BH,1.4,Green,Pattern,1,arthropod,three,middle & end,42,late August,352
BH,1.5,Red,Solid,0,none,none,none,42,late August,353
BH,1.5,Green,Solid,0,unknown,one,end,42,late August,354
BH,1.5,Red,Pattern,1,arthropod,one,end,42,late August,355
BH,1.5,Green,Pattern,1,arthropod,seven,middle & end,42,late August,356
BH,1.6,Red,Solid,1,arthropod,two,middle & end,42,late August,357
BH,1.6,Green,Solid,1,arthropod,one,middle,42,late August,358
BH,1.6,Red,Pattern,0,none,none,none,42,late August,359
BH,1.6,Green,Pattern,0,none,none,none,42,late August,360
BH,1.7,Red,Solid,1,arthropod,six,middle & end,42,late August,361
BH,1.7,Green,Solid,1,arthropod,one,end,42,late August,362
BH,1.7,Green,Pattern,0,none,none,none,42,late August,364
BH,1.8,Red,Solid,0,none,none,none,42,late August,365
BH,1.8,Green,Solid,1,arthropod,two,middle & end,42,late August,366
BH,1.8,Red,Pattern,1,arthropod,five,middle,42,late August,367
BH,1.8,Green,Pattern,0,none,none,none,42,late August,368
BH,1.9,Red,Solid,1,arthropod,one,middle,42,late August,369
BH,1.9,Green,Solid,1,arthropod,five,middle & end,42,late August,370
BH,1.9,Green,Pattern,0,none,none,none,42,late August,372
BH,1.1,Red,Solid,0,none,none,none,42,late August,373
BH,1.1,Green,Solid,1,arthropod,eight,middle & end,42,late August,374
BH,1.1,Red,Pattern,1,arthropod,two,middle,42,late August,375
BH,1.1,Green,Pattern,0,none,none,none,42,late August,376
BH,1.11,Red,Solid,0,none,none,none,42,late August,377
BH,1.11,Green,Solid,0,none,none,none,42,late August,378
BH,1.11,Red,Pattern,0,none,none,none,42,late August,379
BH,1.11,Green,Pattern,0,none,none,none,42,late August,380
BH,1.12,Red,Solid,0,none,none,none,42,late August,381
BH,1.12,Green,Solid,0,none,none,none,42,late August,382
BH,1.12,Red,Pattern,1,arthropod,one,middle,42,late August,383
BH,1.12,Green,Pattern,0,none,none,none,42,late August,384
BH,1.13,Red,Solid,1,arthropod,two,middle,42,late August,385
BH,1.13,Red,Pattern,1,arthropod,three,middle,42,late August,387
BH,1.13,Green,Pattern,0,none,none,none,42,late August,388
BH,1.14,Red,Solid,0,none,none,none,42,late August,389
BH,1.14,Green,Solid,1,arthropod,one,end,42,late August,390
BH,1.14,Red,Pattern,1,arthropod,one,middle,42,late August,391
BH,1.14,Green,Pattern,0,none,none,none,42,late August,392
GB,2.1,Red,Solid,0,none,none,none,42,late August,393
GB,2.1,Green,Solid,1,arthropod,four,middle & end,42,late August,394
GB,2.1,Red,Pattern,0,none,none,none,42,late August,395
GB,2.1,Green,Pattern,1,arthropod,four,middle & end,42,late August,396
GB,2.2,Red,Solid,0,none,none,none,42,late August,397
GB,2.2,Green,Solid,1,arthropod,three,middle,42,late August,398
GB,2.2,Red,Pattern,0,none,none,none,42,late August,399
GB,2.2,Green,Pattern,1,arthropod,two,middle,42,late August,400
GB,2.3,Red,Solid,1,arthropod,three,middle,42,late August,401
GB,2.3,Red,Pattern,1,arthropod,three,middle,42,late August,403
GB,2.3,Green,Pattern,0,none,none,none,42,late August,404
GB,2.4,Red,Solid,0,none,none,none,42,late August,405
GB,2.4,Green,Solid,0,none,none,none,42,late August,406
GB,2.4,Red,Pattern,0,none,none,none,42,late August,407
GB,2.4,Green,Pattern,1,arthropod,three,middle,42,late August,408
GB,2.5,Red,Solid,1,arthropod,four,middle,42,late August,409
GB,2.5,Green,Solid,1,arthropod,three,middle & end,42,late August,410
GB,2.5,Red,Pattern,0,none,none,none,42,late August,411
GB,2.5,Green,Pattern,0,none,none,none,42,late August,412
GB,2.6,Red,Solid,0,none,none,none,42,late August,413
GB,2.6,Green,Solid,0,none,none,none,42,late August,414
GB,2.6,Red,Pattern,0,none,none,none,42,late August,415
GB,2.6,Green,Pattern,1,arthropod,one,middle,42,late August,416
GB,2.7,Red,Solid,0,none,none,none,42,late August,417
GB,2.7,Green,Solid,1,arthropod,two,middle,42,late August,418
GB,2.7,Red,Pattern,0,none,none,none,42,late August,419
GB,2.7,Green,Pattern,0,none,none,none,42,late August,420
GB,2.8,Red,Solid,0,none,none,none,42,late August,421
GB,2.8,Green,Solid,0,unknown,two,middle,42,late August,422
GB,2.8,Red,Pattern,1,arthropod,five,middle,42,late August,423
GB,2.8,Green,Pattern,1,arthropod,over ten,middle & end,42,late August,424
GB,2.9,Red,Solid,1,arthropod,five,middle,42,late August,425
GB,2.9,Green,Solid,0,none,none,none,42,late August,426
GB,2.9,Red,Pattern,0,none,none,none,42,late August,427
GB,2.9,Green,Pattern,0,none,none,none,42,late August,428
GB,2.1,Red,Solid,0,none,none,none,42,late August,429
GB,2.1,Green,Solid,0,none,none,none,42,late August,430
GB,2.1,Red,Pattern,1,arthropod,ten,middle & end,42,late August,431
GB,2.1,Green,Pattern,1,arthropod,two,middle,42,late August,432
GB,2.11,Red,Solid,1,arthropod,four,middle,42,late August,433
GB,2.11,Green,Solid,1,arthropod,one,middle,42,late August,434
GB,2.11,Red,Pattern,1,arthropod,three,middle,42,late August,435
GB,2.11,Green,Pattern,0,none,none,none,42,late August,436
GB,2.12,Red,Solid,1,arthropod,two,middle,42,late August,437
GB,2.12,Green,Solid,1,arthropod,two,middle,42,late August,438
GB,2.13,Red,Solid,1,arthropod,two,middle,42,late August,441
GB,2.13,Green,Solid,1,arthropod,one,middle,42,late August,442
GB,2.13,Red,Pattern,0,none,none,none,42,late August,443
GB,2.13,Green,Pattern,0,none,none,none,42,late August,444
GB,2.14,Red,Solid,1,arthropod,two,end,42,late August,445
GB,2.14,Green,Solid,0,none,none,none,42,late August,446
GB,2.14,Red,Pattern,1,arthropod,two,middle,42,late August,447
GB,2.14,Green,Pattern,1,arthropod,over twenty,middle,42,late August,448
BP,3.1,Green,Solid,1,arthropod,two,middle,42,late August,450
BP,3.1,Red,Pattern,1,arthropod,one,middle,42,late August,451
BP,3.1,Green,Pattern,0,none,none,none,42,late August,452
BP,3.2,Red,Solid,1,arthropod,three,end,42,late August,453
BP,3.2,Green,Solid,0,none,none,none,42,late August,454
BP,3.2,Red,Pattern,1,arthropod,five,end,42,late August,455
BP,3.2,Green,Pattern,1,arthropod,over ten,middle,42,late August,456
BP,3.3,Red,Solid,0,none,none,none,42,late August,457
BP,3.3,Green,Solid,1,arthropod,one,middle,42,late August,458
BP,3.3,Green,Pattern,0,none,none,none,42,late August,460
BP,3.4,Green,Solid,1,arthropod,one,middle,42,late August,462
BP,3.4,Red,Pattern,1,arthropod,three,middle,42,late August,463
BP,3.4,Green,Pattern,0,none,none,none,42,late August,464
BP,3.5,Red,Solid,1,arthropod,seven,middle,42,late August,465
BP,3.5,Red,Pattern,0,none,none,none,42,late August,467
BP,3.5,Green,Pattern,0,none,none,none,42,late August,468
BP,3.6,Red,Solid,1,arthropod,two,middle,42,late August,469
BP,3.6,Green,Solid,1,arthropod,one,middle,42,late August,470
BP,3.6,Red,Pattern,0,none,none,none,42,late August,471
BP,3.7,Red,Solid,0,none,none,none,42,late August,473
BP,3.7,Green,Solid,1,arthropod,six,middle,42,late August,474
BP,3.7,Green,Pattern,0,none,none,none,42,late August,476
BP,3.8,Red,Solid,1,arthropod,one,end,42,late August,477
BP,3.8,Green,Solid,0,none,none,none,42,late August,478
BP,3.8,Red,Pattern,0,none,none,none,42,late August,479
BP,3.8,Green,Pattern,0,none,none,none,42,late August,480
BP,3.9,Green,Solid,1,arthropod,four,middle & end,42,late August,482
BP,3.9,Green,Pattern,1,arthropod,three,middle & end,42,late August,484
BP,3.1,Red,Solid,1,arthropod,two,middle,42,late August,485
BP,3.1,Green,Solid,0,none,none,none,42,late August,486
BP,3.1,Green,Pattern,1,arthropod,over ten,middle & end,42,late August,488
BP,3.11,Red,Solid,0,none,none,none,42,late August,489
BP,3.11,Green,Solid,1,arthropod,three,middle & end,42,late August,490
BP,3.11,Green,Pattern,1,arthropod,three,end,42,late August,492
BP,3.12,Green,Solid,1,arthropod,five,middle,42,late August,494
BP,3.12,Red,Pattern,0,none,none,none,42,late August,495
BP,3.12,Green,Pattern,1,arthropod,one,middle,42,late August,496
BP,3.13,Red,Solid,1,arthropod,two,middle,42,late August,497
BP,3.13,Green,Solid,1,arthropod,four,middle,42,late August,498
BP,3.13,Red,Pattern,0,none,none,none,42,late August,499
BP,3.13,Green,Pattern,1,arthropod,five,middle,42,late August,500
BP,3.14,Red,Solid,0,none,none,none,42,late August,501
BP,3.14,Green,Solid,1,arthropod,two,middle,42,late August,502
BP,3.14,Red,Pattern,1,arthropod,two,end,42,late August,503
BP,3.14,Green,Pattern,0,none,none,none,42,late August,504
BH,1.1,Red,Solid,0,none,none,none,58,early September,505
BH,1.1,Green,Solid,0,none,none,none,58,early September,506
BH,1.1,Red,Pattern,0,none,none,none,58,early September,507
BH,1.2,Red,Solid,0,none,none,none,58,early September,509
BH,1.2,Green,Solid,1,arthropod,one,middle,58,early September,510
BH,1.2,Red,Pattern,1,arthropod,one,middle,58,early September,511
BH,1.2,Green,Pattern,0,unknown,one,end,58,early September,512
BH,1.3,Red,Solid,1,arthropod,two,middle,58,early September,513
BH,1.3,Green,Solid,1,arthropod,three,middle,58,early September,514
BH,1.3,Green,Pattern,1,arthropod,two,middle,58,early September,516
BH,1.4,Red,Solid,1,arthropod,three,middle & end,58,early September,517
BH,1.4,Green,Solid,1,arthropod,two,end,58,early September,518
BH,1.4,Red,Pattern,0,none,none,none,58,early September,519
BH,1.4,Green,Pattern,1,arthropod,three,middle,58,early September,520
BH,1.5,Red,Solid,0,none,none,none,58,early September,521
BH,1.5,Green,Solid,0,none,none,none,58,early September,522
BH,1.5,Red,Pattern,0,none,none,none,58,early September,523
BH,1.5,Green,Pattern,1,arthropod,five,middle,58,early September,524
BH,1.6,Red,Solid,1,arthropod,one,middle,58,early September,525
BH,1.6,Green,Solid,1,arthropod,two,middle,58,early September,526
BH,1.6,Red,Pattern,0,none,none,none,58,early September,527
BH,1.6,Green,Pattern,0,none,none,none,58,early September,528
BH,1.7,Red,Solid,1,arthropod,one,end,58,early September,529
BH,1.7,Green,Solid,0,none,none,none,58,early September,530
BH,1.7,Red,Pattern,1,arthropod,nine,middle & end,58,early September,531
BH,1.7,Green,Pattern,0,none,none,none,58,early September,532
BH,1.8,Red,Solid,1,arthropod,one,middle,58,early September,533
BH,1.8,Green,Solid,1,arthropod,two,end,58,early September,534
BH,1.8,Red,Pattern,1,arthropod,two,middle,58,early September,535
