Site,Trial,Color,Pattern,n,Predator,Pred_sum,Attack_Rate
BH,1,Green,Pattern,1,Arthropod,0,0
BH,1,Green,Solid,14,Arthropod,4,0.285714286
BH,1,Red,Pattern,13,Arthropod,0,0
BH,1,Red,Solid,14,Arthropod,2,0.142857143
BH,2,Green,Pattern,13,Arthropod,3,0.230769231
BH,2,Green,Solid,13,Arthropod,1,0.076923077
BH,2,Red,Pattern,14,Arthropod,3,0.214285714
BH,2,Red,Solid,14,Arthropod,3,0.214285714
BH,3,Green,Pattern,14,Arthropod,2,0.142857143
BH,3,Green,Solid,14,Arthropod,6,0.428571429
BH,3,Red,Pattern,14,Arthropod,4,0.285714286
BH,3,Red,Solid,14,Arthropod,4,0.285714286
BH,4,Green,Pattern,13,Arthropod,5,0.384615385
BH,4,Green,Solid,14,Arthropod,8,0.571428571
BH,4,Red,Pattern,14,Arthropod,3,0.214285714
BH,4,Red,Solid,14,Arthropod,7,0.5
BH,5,Green,Pattern,14,Arthropod,10,0.714285714
BH,5,Green,Solid,14,Arthropod,6,0.428571429
BH,5,Red,Pattern,14,Arthropod,1,0.071428571
BH,5,Red,Solid,14,Arthropod,8,0.571428571
BH,6,Green,Pattern,14,Arthropod,3,0.214285714
BH,6,Green,Solid,14,Arthropod,5,0.357142857
BH,6,Red,Pattern,14,Arthropod,3,0.214285714
BH,6,Red,Solid,14,Arthropod,3,0.214285714
BP,1,Green,Pattern,3,Arthropod,0,0
BP,1,Green,Solid,14,Arthropod,1,0.071428571
BP,1,Red,Pattern,13,Arthropod,6,0.461538462
BP,1,Red,Solid,14,Arthropod,0,0
BP,2,Green,Pattern,14,Arthropod,1,0.071428571
BP,2,Green,Solid,14,Arthropod,5,0.357142857
BP,2,Red,Pattern,14,Arthropod,3,0.214285714
BP,2,Red,Solid,14,Arthropod,1,0.071428571
BP,3,Green,Pattern,14,Arthropod,7,0.5
BP,3,Green,Solid,14,Arthropod,10,0.714285714
BP,3,Red,Pattern,14,Arthropod,4,0.285714286
BP,3,Red,Solid,14,Arthropod,6,0.428571429
BP,4,Green,Pattern,14,Arthropod,5,0.357142857
BP,4,Green,Solid,14,Arthropod,6,0.428571429
BP,4,Red,Pattern,14,Arthropod,5,0.357142857
BP,4,Red,Solid,14,Arthropod,4,0.285714286
BP,5,Green,Pattern,14,Arthropod,8,0.571428571
BP,5,Green,Solid,14,Arthropod,5,0.357142857
BP,5,Red,Pattern,14,Arthropod,1,0.071428571
BP,5,Red,Solid,14,Arthropod,2,0.142857143
BP,6,Green,Pattern,14,Arthropod,4,0.285714286
BP,6,Green,Solid,14,Arthropod,4,0.285714286
BP,6,Red,Pattern,13,Arthropod,3,0.230769231
BP,6,Red,Solid,14,Arthropod,5,0.357142857
GB,1,Green,Pattern,4,Arthropod,0,0
GB,1,Green,Solid,13,Arthropod,2,0.153846154
GB,1,Red,Pattern,14,Arthropod,1,0.071428571
GB,1,Red,Solid,13,Arthropod,1,0.076923077
GB,2,Green,Pattern,14,Arthropod,4,0.285714286
GB,2,Green,Solid,14,Arthropod,6,0.428571429
GB,2,Red,Pattern,14,Arthropod,5,0.357142857
GB,2,Red,Solid,14,Arthropod,5,0.357142857
GB,3,Green,Pattern,14,Arthropod,6,0.428571429
GB,3,Green,Solid,13,Arthropod,7,0.538461538
GB,3,Red,Pattern,14,Arthropod,6,0.428571429
GB,3,Red,Solid,14,Arthropod,7,0.5
GB,4,Green,Pattern,14,Arthropod,6,0.428571429
GB,4,Green,Solid,14,Arthropod,9,0.642857143
GB,4,Red,Pattern,14,Arthropod,6,0.428571429
GB,4,Red,Solid,13,Arthropod,4,0.307692308
GB,5,Green,Pattern,14,Arthropod,2,0.142857143
GB,5,Green,Solid,14,Arthropod,1,0.071428571
GB,5,Red,Pattern,14,Arthropod,6,0.428571429
GB,5,Red,Solid,14,Arthropod,4,0.285714286
GB,6,Green,Pattern,14,Arthropod,5,0.357142857
GB,6,Green,Solid,14,Arthropod,3,0.214285714
GB,6,Red,Pattern,14,Arthropod,0,0
GB,6,Red,Solid,14,Arthropod,3,0.214285714
BH,1,Green,Pattern,1,Bird,0,0
BH,1,Green,Solid,14,Bird,0,0
BH,1,Red,Pattern,13,Bird,2,0.153846154
BH,1,Red,Solid,14,Bird,0,0
BH,2,Green,Pattern,13,Bird,0,0
BH,2,Green,Solid,13,Bird,0,0
BH,2,Red,Pattern,14,Bird,0,0
BH,2,Red,Solid,14,Bird,1,0.071428571
BH,3,Green,Pattern,14,Bird,0,0
BH,3,Green,Solid,14,Bird,2,0.142857143
BH,3,Red,Pattern,14,Bird,1,0.071428571
BH,3,Red,Solid,14,Bird,1,0.071428571
BH,4,Green,Pattern,13,Bird,2,0.153846154
BH,4,Green,Solid,14,Bird,0,0
BH,4,Red,Pattern,14,Bird,0,0
BH,4,Red,Solid,14,Bird,1,0.071428571
BH,5,Green,Pattern,14,Bird,2,0.142857143
BH,5,Green,Solid,14,Bird,0,0
BH,5,Red,Pattern,14,Bird,3,0.214285714
BH,5,Red,Solid,14,Bird,1,0.071428571
BH,6,Green,Pattern,14,Bird,0,0
BH,6,Green,Solid,14,Bird,0,0
BH,6,Red,Pattern,14,Bird,2,0.142857143
BH,6,Red,Solid,14,Bird,0,0
BP,1,Green,Pattern,3,Bird,0,0
BP,1,Green,Solid,14,Bird,0,0
BP,1,Red,Pattern,13,Bird,2,0.153846154
BP,1,Red,Solid,14,Bird,3,0.214285714
BP,2,Green,Pattern,14,Bird,2,0.142857143
BP,2,Green,Solid,14,Bird,2,0.142857143
BP,2,Red,Pattern,14,Bird,4,0.285714286
BP,2,Red,Solid,14,Bird,4,0.285714286
BP,3,Green,Pattern,14,Bird,0,0
BP,3,Green,Solid,14,Bird,1,0.071428571
BP,3,Red,Pattern,14,Bird,3,0.214285714
BP,3,Red,Solid,14,Bird,3,0.214285714
BP,4,Green,Pattern,14,Bird,0,0
BP,4,Green,Solid,14,Bird,0,0
BP,4,Red,Pattern,14,Bird,1,0.071428571
BP,4,Red,Solid,14,Bird,1,0.071428571
BP,5,Green,Pattern,14,Bird,3,0.214285714
BP,5,Green,Solid,14,Bird,2,0.142857143
BP,5,Red,Pattern,14,Bird,1,0.071428571
BP,5,Red,Solid,14,Bird,2,0.142857143
BP,6,Green,Pattern,14,Bird,2,0.142857143
BP,6,Green,Solid,14,Bird,0,0
BP,6,Red,Pattern,13,Bird,2,0.153846154
BP,6,Red,Solid,14,Bird,3,0.214285714
GB,1,Green,Pattern,4,Bird,0,0
GB,1,Green,Solid,13,Bird,0,0
GB,1,Red,Pattern,14,Bird,1,0.071428571
GB,1,Red,Solid,13,Bird,1,0.076923077
GB,2,Green,Pattern,14,Bird,0,0
GB,2,Green,Solid,14,Bird,1,0.071428571
GB,2,Red,Pattern,14,Bird,1,0.071428571
GB,2,Red,Solid,14,Bird,2,0.142857143
GB,3,Green,Pattern,14,Bird,2,0.142857143
GB,3,Green,Solid,13,Bird,0,0
GB,3,Red,Pattern,14,Bird,1,0.071428571
GB,3,Red,Solid,14,Bird,0,0
GB,4,Green,Pattern,14,Bird,0,0
GB,4,Green,Solid,14,Bird,1,0.071428571
GB,4,Red,Pattern,14,Bird,0,0
GB,4,Red,Solid,13,Bird,0,0
GB,5,Green,Pattern,14,Bird,2,0.142857143
GB,5,Green,Solid,14,Bird,1,0.071428571
GB,5,Red,Pattern,14,Bird,2,0.142857143
GB,5,Red,Solid,14,Bird,0,0
GB,6,Green,Pattern,14,Bird,0,0
GB,6,Green,Solid,14,Bird,0,0
GB,6,Red,Pattern,14,Bird,2,0.142857143
GB,6,Red,Solid,14,Bird,0,0
BH,1,Green,Pattern,1,Rodent,0,0
BH,1,Green,Solid,14,Rodent,1,0.071428571
BH,1,Red,Pattern,13,Rodent,0,0
BH,1,Red,Solid,14,Rodent,2,0.142857143
BH,2,Green,Pattern,13,Rodent,2,0.153846154
BH,2,Green,Solid,13,Rodent,0,0
BH,2,Red,Pattern,14,Rodent,0,0
BH,2,Red,Solid,14,Rodent,0,0
BH,3,Green,Pattern,14,Rodent,0,0
BH,3,Green,Solid,14,Rodent,1,0.071428571
BH,3,Red,Pattern,14,Rodent,1,0.071428571
BH,3,Red,Solid,14,Rodent,0,0
BH,4,Green,Pattern,13,Rodent,0,0
BH,4,Green,Solid,14,Rodent,0,0
BH,4,Red,Pattern,14,Rodent,2,0.142857143
BH,4,Red,Solid,14,Rodent,0,0
BH,5,Green,Pattern,14,Rodent,1,0.071428571
BH,5,Green,Solid,14,Rodent,0,0
BH,5,Red,Pattern,14,Rodent,1,0.071428571
BH,5,Red,Solid,14,Rodent,0,0
BH,6,Green,Pattern,14,Rodent,1,0.071428571
BH,6,Green,Solid,14,Rodent,0,0
BH,6,Red,Pattern,14,Rodent,0,0
BH,6,Red,Solid,14,Rodent,0,0
BP,1,Green,Pattern,3,Rodent,0,0
BP,1,Green,Solid,14,Rodent,1,0.071428571
BP,1,Red,Pattern,13,Rodent,1,0.076923077
BP,1,Red,Solid,14,Rodent,2,0.142857143
BP,2,Green,Pattern,14,Rodent,3,0.214285714
BP,2,Green,Solid,14,Rodent,0,0
BP,2,Red,Pattern,14,Rodent,2,0.142857143
BP,2,Red,Solid,14,Rodent,1,0.071428571
BP,3,Green,Pattern,14,Rodent,0,0
BP,3,Green,Solid,14,Rodent,0,0
BP,3,Red,Pattern,14,Rodent,1,0.071428571
BP,3,Red,Solid,14,Rodent,1,0.071428571
BP,4,Green,Pattern,14,Rodent,0,0
BP,4,Green,Solid,14,Rodent,1,0.071428571
BP,4,Red,Pattern,14,Rodent,0,0
BP,4,Red,Solid,14,Rodent,0,0
BP,5,Green,Pattern,14,Rodent,1,0.071428571
BP,5,Green,Solid,14,Rodent,1,0.071428571
BP,5,Red,Pattern,14,Rodent,3,0.214285714
BP,5,Red,Solid,14,Rodent,2,0.142857143
BP,6,Green,Pattern,14,Rodent,0,0
BP,6,Green,Solid,14,Rodent,3,0.214285714
BP,6,Red,Pattern,13,Rodent,3,0.230769231
BP,6,Red,Solid,14,Rodent,1,0.071428571
GB,1,Green,Pattern,4,Rodent,0,0
GB,1,Green,Solid,13,Rodent,0,0
GB,1,Red,Pattern,14,Rodent,0,0
GB,1,Red,Solid,13,Rodent,0,0
GB,2,Green,Pattern,14,Rodent,0,0
GB,2,Green,Solid,14,Rodent,0,0
GB,2,Red,Pattern,14,Rodent,1,0.071428571
GB,2,Red,Solid,14,Rodent,0,0
GB,3,Green,Pattern,14,Rodent,0,0
GB,3,Green,Solid,13,Rodent,0,0
GB,3,Red,Pattern,14,Rodent,0,0
GB,3,Red,Solid,14,Rodent,0,0
GB,4,Green,Pattern,14,Rodent,0,0
GB,4,Green,Solid,14,Rodent,0,0
GB,4,Red,Pattern,14,Rodent,1,0.071428571
GB,4,Red,Solid,13,Rodent,0,0
GB,5,Green,Pattern,14,Rodent,1,0.071428571
GB,5,Green,Solid,14,Rodent,1,0.071428571
GB,5,Red,Pattern,14,Rodent,3,0.214285714
GB,5,Red,Solid,14,Rodent,0,0
GB,6,Green,Pattern,14,Rodent,0,0
GB,6,Green,Solid,14,Rodent,0,0
GB,6,Red,Pattern,14,Rodent,1,0.071428571
GB,6,Red,Solid,14,Rodent,1,0.071428571
BH,1,Green,Pattern,1,Mammal,0,0
BH,1,Green,Solid,14,Mammal,0,0
BH,1,Red,Pattern,13,Mammal,0,0
BH,1,Red,Solid,14,Mammal,0,0
BH,2,Green,Pattern,13,Mammal,0,0
BH,2,Green,Solid,13,Mammal,0,0
BH,2,Red,Pattern,14,Mammal,0,0
BH,2,Red,Solid,14,Mammal,0,0
BH,3,Green,Pattern,14,Mammal,0,0
BH,3,Green,Solid,14,Mammal,0,0
BH,3,Red,Pattern,14,Mammal,0,0
BH,3,Red,Solid,14,Mammal,0,0
BH,4,Green,Pattern,13,Mammal,0,0
BH,4,Green,Solid,14,Mammal,0,0
BH,4,Red,Pattern,14,Mammal,0,0
BH,4,Red,Solid,14,Mammal,0,0
BH,5,Green,Pattern,14,Mammal,0,0
BH,5,Green,Solid,14,Mammal,0,0
BH,5,Red,Pattern,14,Mammal,0,0
BH,5,Red,Solid,14,Mammal,0,0
BH,6,Green,Pattern,14,Mammal,0,0
BH,6,Green,Solid,14,Mammal,0,0
BH,6,Red,Pattern,14,Mammal,0,0
BH,6,Red,Solid,14,Mammal,1,0.071428571
BP,1,Green,Pattern,3,Mammal,0,0
BP,1,Green,Solid,14,Mammal,0,0
BP,1,Red,Pattern,13,Mammal,0,0
BP,1,Red,Solid,14,Mammal,0,0
BP,2,Green,Pattern,14,Mammal,2,0.142857143
BP,2,Green,Solid,14,Mammal,0,0
BP,2,Red,Pattern,14,Mammal,1,0.071428571
BP,2,Red,Solid,14,Mammal,0,0
BP,3,Green,Pattern,14,Mammal,1,0.071428571
BP,3,Green,Solid,14,Mammal,0,0
BP,3,Red,Pattern,14,Mammal,1,0.071428571
BP,3,Red,Solid,14,Mammal,0,0
BP,4,Green,Pattern,14,Mammal,0,0
BP,4,Green,Solid,14,Mammal,0,0
BP,4,Red,Pattern,14,Mammal,0,0
BP,4,Red,Solid,14,Mammal,0,0
BP,5,Green,Pattern,14,Mammal,0,0
BP,5,Green,Solid,14,Mammal,0,0
BP,5,Red,Pattern,14,Mammal,1,0.071428571
BP,5,Red,Solid,14,Mammal,0,0
BP,6,Green,Pattern,14,Mammal,0,0
BP,6,Green,Solid,14,Mammal,0,0
BP,6,Red,Pattern,13,Mammal,0,0
BP,6,Red,Solid,14,Mammal,0,0
GB,1,Green,Pattern,4,Mammal,0,0
GB,1,Green,Solid,13,Mammal,0,0
GB,1,Red,Pattern,14,Mammal,0,0
GB,1,Red,Solid,13,Mammal,0,0
GB,2,Green,Pattern,14,Mammal,0,0
GB,2,Green,Solid,14,Mammal,0,0
GB,2,Red,Pattern,14,Mammal,1,0.071428571
GB,2,Red,Solid,14,Mammal,0,0
GB,3,Green,Pattern,14,Mammal,0,0
GB,3,Green,Solid,13,Mammal,0,0
GB,3,Red,Pattern,14,Mammal,0,0
GB,3,Red,Solid,14,Mammal,0,0
GB,4,Green,Pattern,14,Mammal,1,0.071428571
GB,4,Green,Solid,14,Mammal,1,0.071428571
GB,4,Red,Pattern,14,Mammal,0,0
GB,4,Red,Solid,13,Mammal,0,0
GB,5,Green,Pattern,14,Mammal,0,0
GB,5,Green,Solid,14,Mammal,1,0.071428571
GB,5,Red,Pattern,14,Mammal,0,0
GB,5,Red,Solid,14,Mammal,1,0.071428571
GB,6,Green,Pattern,14,Mammal,0,0
GB,6,Green,Solid,14,Mammal,0,0
GB,6,Red,Pattern,14,Mammal,0,0
GB,6,Red,Solid,14,Mammal,0,0
