Site,Month,Color,Pattern,n,Pred_sum,Att_rate,Predator_Vert,Vert_pred_Count,Predator_Invert,Invert_pred_Count,Att_rate_Vert,Att_rate_Invert
BH,Late July,Green,Pattern,1,0,0,Vertebrate,0,Invertebrate,0,0,0
BH,Late July,Green,Solid,14,5,0.35714285714285715,Vertebrate,1,Invertebrate,4,0.07142857142857142,0.2857142857142857
BH,Late July,Red,Pattern,13,2,0.15384615384615385,Vertebrate,2,Invertebrate,0,0.15384615384615385,0
BH,Late July,Red,Solid,14,5,0.35714285714285715,Vertebrate,2,Invertebrate,3,0.14285714285714285,0.21428571428571427
BH,Early August,Green,Pattern,13,7,0.5384615384615384,Vertebrate,2,Invertebrate,5,0.15384615384615385,0.38461538461538464
BH,Early August,Green,Solid,13,1,0.07692307692307693,Vertebrate,0,Invertebrate,1,0,0.07692307692307693
BH,Early August,Red,Pattern,14,2,0.14285714285714285,Vertebrate,0,Invertebrate,2,0,0.14285714285714285
BH,Early August,Red,Solid,14,4,0.2857142857142857,Vertebrate,1,Invertebrate,3,0.07142857142857142,0.21428571428571427
BH,Late August,Green,Pattern,14,2,0.14285714285714285,Vertebrate,0,Invertebrate,2,0,0.14285714285714285
BH,Late August,Green,Solid,14,9,0.6428571428571429,Vertebrate,3,Invertebrate,6,0.21428571428571427,0.42857142857142855
BH,Late August,Red,Pattern,14,9,0.6428571428571429,Vertebrate,2,Invertebrate,7,0.14285714285714285,0.5
BH,Late August,Red,Solid,14,5,0.35714285714285715,Vertebrate,1,Invertebrate,4,0.07142857142857142,0.2857142857142857
BH,Early September,Green,Pattern,13,7,0.5384615384615384,Vertebrate,2,Invertebrate,5,0.15384615384615385,0.38461538461538464
BH,Early September,Green,Solid,14,8,0.5714285714285714,Vertebrate,0,Invertebrate,8,0,0.5714285714285714
BH,Early September,Red,Pattern,14,6,0.42857142857142855,Vertebrate,2,Invertebrate,4,0.14285714285714285,0.2857142857142857
BH,Early September,Red,Solid,14,8,0.5714285714285714,Vertebrate,1,Invertebrate,7,0.07142857142857142,0.5
BH,Late September,Green,Pattern,14,12,0.8571428571428571,Vertebrate,3,Invertebrate,9,0.21428571428571427,0.6428571428571429
BH,Late September,Green,Solid,14,6,0.42857142857142855,Vertebrate,0,Invertebrate,6,0,0.42857142857142855
BH,Late September,Red,Pattern,14,5,0.35714285714285715,Vertebrate,4,Invertebrate,1,0.2857142857142857,0.07142857142857142
BH,Late September,Red,Solid,14,9,0.6428571428571429,Vertebrate,1,Invertebrate,8,0.07142857142857142,0.5714285714285714
BH,Mid-October,Green,Pattern,14,4,0.2857142857142857,Vertebrate,1,Invertebrate,3,0.07142857142857142,0.21428571428571427
BH,Mid-October,Green,Solid,14,5,0.35714285714285715,Vertebrate,0,Invertebrate,5,0,0.35714285714285715
BH,Mid-October,Red,Pattern,14,5,0.35714285714285715,Vertebrate,2,Invertebrate,3,0.14285714285714285,0.21428571428571427
BH,Mid-October,Red,Solid,14,5,0.35714285714285715,Vertebrate,1,Invertebrate,4,0.07142857142857142,0.2857142857142857
BP,Late July,Green,Pattern,3,0,0,Vertebrate,0,Invertebrate,0,0,0
BP,Late July,Green,Solid,14,2,0.14285714285714285,Vertebrate,1,Invertebrate,1,0.07142857142857142,0.07142857142857142
BP,Late July,Red,Pattern,13,6,0.46153846153846156,Vertebrate,3,Invertebrate,3,0.23076923076923078,0.23076923076923078
BP,Late July,Red,Solid,14,5,0.35714285714285715,Vertebrate,5,Invertebrate,0,0.35714285714285715,0
BP,Early August,Green,Pattern,14,8,0.5714285714285714,Vertebrate,7,Invertebrate,1,0.5,0.07142857142857142
BP,Early August,Green,Solid,14,7,0.5,Vertebrate,2,Invertebrate,5,0.14285714285714285,0.35714285714285715
BP,Early August,Red,Pattern,14,9,0.6428571428571429,Vertebrate,7,Invertebrate,2,0.5,0.14285714285714285
BP,Early August,Red,Solid,14,6,0.42857142857142855,Vertebrate,5,Invertebrate,1,0.35714285714285715,0.07142857142857142
BP,Late August,Green,Pattern,14,7,0.5,Vertebrate,1,Invertebrate,6,0.07142857142857142,0.42857142857142855
BP,Late August,Green,Solid,14,11,0.7857142857142857,Vertebrate,1,Invertebrate,10,0.07142857142857142,0.7142857142857143
BP,Late August,Red,Pattern,14,9,0.6428571428571429,Vertebrate,5,Invertebrate,4,0.35714285714285715,0.2857142857142857
BP,Late August,Red,Solid,14,10,0.7142857142857143,Vertebrate,4,Invertebrate,6,0.2857142857142857,0.42857142857142855
BP,Early September,Green,Pattern,14,6,0.42857142857142855,Vertebrate,0,Invertebrate,6,0,0.42857142857142855
BP,Early September,Green,Solid,14,7,0.5,Vertebrate,1,Invertebrate,6,0.07142857142857142,0.42857142857142855
BP,Early September,Red,Pattern,14,7,0.5,Vertebrate,1,Invertebrate,6,0.07142857142857142,0.42857142857142855
BP,Early September,Red,Solid,14,6,0.42857142857142855,Vertebrate,1,Invertebrate,5,0.07142857142857142,0.35714285714285715
BP,Late September,Green,Pattern,14,12,0.8571428571428571,Vertebrate,4,Invertebrate,8,0.2857142857142857,0.5714285714285714
BP,Late September,Green,Solid,14,8,0.5714285714285714,Vertebrate,3,Invertebrate,5,0.21428571428571427,0.35714285714285715
BP,Late September,Red,Pattern,14,6,0.42857142857142855,Vertebrate,5,Invertebrate,1,0.35714285714285715,0.07142857142857142
BP,Late September,Red,Solid,14,6,0.42857142857142855,Vertebrate,4,Invertebrate,2,0.2857142857142857,0.14285714285714285
BP,Mid-October,Green,Pattern,14,5,0.35714285714285715,Vertebrate,2,Invertebrate,3,0.14285714285714285,0.21428571428571427
BP,Mid-October,Green,Solid,14,7,0.5,Vertebrate,3,Invertebrate,4,0.21428571428571427,0.2857142857142857
BP,Mid-October,Red,Pattern,13,9,0.6923076923076923,Vertebrate,5,Invertebrate,4,0.38461538461538464,0.3076923076923077
BP,Mid-October,Red,Solid,14,9,0.6428571428571429,Vertebrate,4,Invertebrate,5,0.2857142857142857,0.35714285714285715
GB,Late July,Green,Pattern,4,0,0,Vertebrate,0,Invertebrate,0,0,0
GB,Late July,Green,Solid,13,2,0.15384615384615385,Vertebrate,0,Invertebrate,2,0,0.15384615384615385
GB,Late July,Red,Pattern,14,2,0.14285714285714285,Vertebrate,1,Invertebrate,1,0.07142857142857142,0.07142857142857142
GB,Late July,Red,Solid,13,2,0.15384615384615385,Vertebrate,1,Invertebrate,1,0.07692307692307693,0.07692307692307693
GB,Early August,Green,Pattern,14,5,0.35714285714285715,Vertebrate,0,Invertebrate,5,0,0.35714285714285715
GB,Early August,Green,Solid,14,7,0.5,Vertebrate,1,Invertebrate,6,0.07142857142857142,0.42857142857142855
GB,Early August,Red,Pattern,14,6,0.42857142857142855,Vertebrate,3,Invertebrate,3,0.21428571428571427,0.21428571428571427
GB,Early August,Red,Solid,14,7,0.5,Vertebrate,2,Invertebrate,5,0.14285714285714285,0.35714285714285715
GB,Late August,Green,Pattern,14,8,0.5714285714285714,Vertebrate,2,Invertebrate,6,0.14285714285714285,0.42857142857142855
GB,Late August,Green,Solid,13,7,0.5384615384615384,Vertebrate,0,Invertebrate,7,0,0.5384615384615384
GB,Late August,Red,Pattern,14,6,0.42857142857142855,Vertebrate,1,Invertebrate,5,0.07142857142857142,0.35714285714285715
GB,Late August,Red,Solid,14,7,0.5,Vertebrate,0,Invertebrate,7,0,0.5
GB,Early September,Green,Pattern,14,3,0.21428571428571427,Vertebrate,1,Invertebrate,2,0.07142857142857142,0.14285714285714285
GB,Early September,Green,Solid,14,11,0.7857142857142857,Vertebrate,2,Invertebrate,9,0.14285714285714285,0.6428571428571429
GB,Early September,Red,Pattern,14,7,0.5,Vertebrate,1,Invertebrate,6,0.07142857142857142,0.42857142857142855
GB,Early September,Red,Solid,13,4,0.3076923076923077,Vertebrate,0,Invertebrate,4,0,0.3076923076923077
GB,Late September,Green,Pattern,14,5,0.35714285714285715,Vertebrate,3,Invertebrate,2,0.21428571428571427,0.14285714285714285
GB,Late September,Green,Solid,14,4,0.2857142857142857,Vertebrate,3,Invertebrate,1,0.21428571428571427,0.07142857142857142
GB,Late September,Red,Pattern,14,7,0.5,Vertebrate,5,Invertebrate,2,0.35714285714285715,0.14285714285714285
GB,Late September,Red,Solid,14,5,0.35714285714285715,Vertebrate,1,Invertebrate,4,0.07142857142857142,0.2857142857142857
GB,Mid-October,Green,Pattern,14,4,0.2857142857142857,Vertebrate,0,Invertebrate,4,0,0.2857142857142857
GB,Mid-October,Green,Solid,14,3,0.21428571428571427,Vertebrate,0,Invertebrate,3,0,0.21428571428571427
GB,Mid-October,Red,Pattern,14,3,0.21428571428571427,Vertebrate,3,Invertebrate,0,0.21428571428571427,0
GB,Mid-October,Red,Solid,14,4,0.2857142857142857,Vertebrate,1,Invertebrate,3,0.07142857142857142,0.21428571428571427
